item_id,transaction_id,product_id,quantity,unit_price,subtotal
1,1000,18,2,36,72
2,1001,7,5,95,475
3,1001,35,4,72,288
4,1002,2,2,320,640
5,1003,33,5,78,390
6,1003,39,2,14,28
7,1004,35,4,72,288
8,1004,27,3,45,135
9,1004,15,3,32,96
10,1004,29,1,240,240
11,1004,18,2,36,72
12,1004,1,3,260,780
13,1005,6,1,58,58
14,1006,23,4,18,72
15,1006,39,5,14,70
16,1006,17,1,42,42
17,1007,6,5,58,290
18,1007,36,2,9,18
19,1007,19,1,30,30
20,1007,40,1,26,26
21,1008,15,4,32,128
22,1008,19,3,30,90
23,1008,6,2,58,116
24,1008,40,3,26,78
25,1008,7,3,95,285
26,1008,25,2,20,40
27,1009,18,4,36,144
28,1009,5,3,22,66
29,1009,11,5,9,45
30,1009,35,2,72,144
31,1009,16,3,30,90
32,1009,38,1,44,44
33,1010,3,2,1550,3100
34,1010,21,1,40,40
35,1011,37,4,50,200
36,1011,21,4,40,160
37,1012,30,5,115,575
38,1012,10,4,68,272
39,1012,17,5,42,210
40,1012,9,4,75,300
41,1012,16,3,30,90
42,1012,35,2,72,144
43,1013,33,1,78,78
44,1013,32,1,165,165
45,1014,11,1,9,9
46,1014,28,4,25,100
47,1015,39,1,14,14
48,1015,30,1,115,115
49,1015,34,5,3,15
50,1015,17,3,42,126
51,1016,22,5,48,240
52,1016,8,2,27,54
53,1016,19,5,30,150
54,1016,28,1,25,25
55,1016,11,3,9,27
56,1016,30,5,115,575
57,1016,1,5,260,1300
58,1017,10,5,68,340
59,1017,24,5,92,460
60,1018,39,4,14,56
61,1019,24,2,92,184
62,1020,16,1,30,30
63,1021,32,5,165,825
64,1022,9,4,75,300
65,1022,40,2,26,52
66,1022,31,5,190,950
67,1022,36,2,9,18
68,1022,11,3,9,27
69,1022,17,4,42,168
70,1022,34,3,3,9
71,1023,34,1,3,3
72,1023,29,2,240,480
73,1023,8,1,27,27
74,1023,16,5,30,150
75,1024,15,1,32,32
76,1024,38,1,44,44
77,1024,1,3,260,780
78,1024,5,1,22,22
79,1024,4,5,55,275
80,1025,18,5,36,180
